"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"        50 to 54 years","36,631","±1,730","5.3%","±0.2","17,445","±1,329","5.2%","±0.4","19,186","±915","5.3%","±0.2"
"        55 to 59 years","37,046","±3,195","5.3%","±0.5","17,537","±2,137","5.3%","±0.6","19,509","±1,851","5.4%","±0.5"
"        60 to 64 years","32,503","±2,988","4.7%","±0.4","14,580","±1,910","4.4%","±0.6","17,923","±1,724","4.9%","±0.5"
"        65 to 69 years","28,977","±1,984","4.2%","±0.3","13,392","±1,360","4.0%","±0.4","15,585","±1,248","4.3%","±0.3"
"        70 to 74 years","18,718","±1,870","2.7%","±0.3","8,322","±1,250","2.5%","±0.4","10,396","±1,190","2.9%","±0.3"
"        75 to 79 years","15,404","±1,647","2.2%","±0.2","6,852","±1,227","2.1%","±0.4","8,552","±1,137","2.4%","±0.3"
"        80 to 84 years","9,359","±1,379","1.3%","±0.2","3,659","±1,056","1.1%","±0.3","5,700","±1,090","1.6%","±0.3"
"        85 years and over","9,956","±1,501","1.4%","±0.2","2,956","±944","0.9%","±0.3","7,000","±1,108","1.9%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","58,117","±2,557","8.4%","±0.3","30,031","±1,031","9.0%","±0.3","28,086","±2,131","7.8%","±0.5"
"        15 to 17 years","17,277","±1,053","2.5%","±0.2","8,475","±768","2.5%","±0.2","8,802","±698","2.4%","±0.2"
"        Under 18 years","110,787","±2,946","15.9%","±0.4","55,542","±1,616","16.6%","±0.5","55,245","±2,532","15.3%","±0.6"
"        18 to 24 years","102,645","±1,576","14.7%","±0.3","49,492","±1,112","14.8%","±0.4","53,153","±1,084","14.7%","±0.3"
"        15 to 44 years","378,255","±2,589","54.4%","±0.4","184,989","±1,936","55.4%","±0.6","193,266","±1,848","53.4%","±0.5"
"        16 years and over","596,657","±3,884","85.7%","±0.5","284,132","±2,868","85.1%","±0.5","312,525","±2,342","86.3%","±0.7"
"        18 years and over","585,139","±3,723","84.1%","±0.4","278,273","±2,800","83.4%","±0.5","306,866","±2,206","84.7%","±0.6"
"        21 years and over","538,626","±4,654","77.4%","±0.5","256,750","±3,342","76.9%","±0.6","281,876","±3,014","77.8%","±0.8"
"        60 years and over","114,917","±3,792","16.5%","±0.5","49,761","±2,120","14.9%","±0.6","65,156","±2,267","18.0%","±0.6"
"        62 years and over","100,409","±3,129","14.4%","±0.4","43,505","±1,737","13.0%","±0.5","56,904","±2,227","15.7%","±0.6"
"        65 years and over","82,414","±2,128","11.8%","±0.3","35,181","±1,342","10.5%","±0.4","47,233","±1,259","13.0%","±0.3"
"        75 years and over","34,719","±1,249","5.0%","±0.2","13,467","±892","4.0%","±0.3","21,252","±796","5.9%","±0.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","32.1","±0.3","(X)","(X)","31.6","±0.3","(X)","(X)","32.8","±0.4","(X)","(X)"
"        Sex ratio (males per 100 females)","92.2","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","38.4","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.4","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","22.0","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
