"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"    70 to 74 years","22,618","±1,762","3.3%","±0.3","10,537","±1,151","3.2%","±0.4","12,081","±1,253","3.4%","±0.4"
"    75 to 79 years","14,261","±1,568","2.1%","±0.2","6,055","±843","1.8%","±0.3","8,206","±1,387","2.3%","±0.4"
"    80 to 84 years","9,600","±1,512","1.4%","±0.2","3,732","±924","1.1%","±0.3","5,868","±1,154","1.7%","±0.3"
"    85 years and over","9,268","±1,394","1.4%","±0.2","3,301","±906","1.0%","±0.3","5,967","±998","1.7%","±0.3"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","54,222","±2,144","7.9%","±0.3","26,766","±1,273","8.1%","±0.4","27,456","±1,488","7.8%","±0.4"
"    15 to 17 years","18,069","±883","2.6%","±0.1","9,772","±706","3.0%","±0.2","8,297","±716","2.3%","±0.2"
"    Under 18 years","105,726","±2,750","15.5%","±0.4","53,183","±1,581","16.1%","±0.5","52,543","±2,170","14.9%","±0.5"
"    18 to 24 years","102,475","±1,798","15.0%","±0.3","48,928","±1,103","14.8%","±0.3","53,547","±1,147","15.2%","±0.3"
"    15 to 44 years","371,345","±2,898","54.4%","±0.4","183,270","±2,443","55.6%","±0.5","188,075","±1,810","53.2%","±0.5"
"    16 years and over","589,324","±3,648","86.3%","±0.4","282,574","±2,882","85.7%","±0.5","306,750","±2,420","86.8%","±0.5"
"    18 years and over","577,289","±3,734","84.5%","±0.4","276,633","±2,967","83.9%","±0.5","300,656","±2,340","85.1%","±0.5"
"    21 years and over","530,285","±4,514","77.6%","±0.6","255,243","±3,582","77.4%","±0.8","275,042","±3,021","77.9%","±0.7"
"    60 years and over","111,542","±3,013","16.3%","±0.4","48,634","±1,880","14.7%","±0.6","62,908","±1,988","17.8%","±0.6"
"    62 years and over","97,388","±2,631","14.3%","±0.4","41,532","±1,470","12.6%","±0.4","55,856","±2,063","15.8%","±0.6"
"    65 years and over","79,984","±1,800","11.7%","±0.3","33,794","±905","10.2%","±0.3","46,190","±1,299","13.1%","±0.4"
"    75 years and over","33,129","±1,259","4.9%","±0.2","13,088","±643","4.0%","±0.2","20,041","±1,020","5.7%","±0.3"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","32.3","±0.3","(X)","(X)","31.9","±0.3","(X)","(X)","32.9","±0.5","(X)","(X)"
"    Sex ratio (males per 100 females)","93.4","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.3","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","16.1","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Child dependency ratio","21.3","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Age","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
