"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"        18 years and over","553,536","±3,672","84.6%","±0.4","262,482","±2,947","83.3%","±0.7","291,054","±2,843","85.8%","±0.6"
"        21 years and over","506,770","±4,148","77.5%","±0.6","239,599","±3,079","76.0%","±0.8","267,171","±3,241","78.8%","±0.7"
"        60 years and over","116,923","±3,552","17.9%","±0.6","51,282","±2,105","16.3%","±0.7","65,641","±2,035","19.4%","±0.6"
"        62 years and over","103,118","±3,123","15.8%","±0.5","44,705","±2,023","14.2%","±0.7","58,413","±1,775","17.2%","±0.6"
"        65 years and over","83,078","±2,200","12.7%","±0.3","36,008","±1,266","11.4%","±0.4","47,070","±1,485","13.9%","±0.4"
"        75 years and over","32,474","±1,508","5.0%","±0.2","12,629","±842","4.0%","±0.3","19,845","±1,125","5.9%","±0.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","33.0","±0.3","(X)","(X)","32.4","±0.5","(X)","(X)","33.5","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","92.9","±1.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","39.1","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.7","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","21.4","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
